word,bias_x,bias_y
가가,0.0166563873226111,0.0536173814971031
가감,0.0019974201038364114,-0.030690146817703958
가게,0.16106001145882376,0.061019615683354955
가격,0.45345544197029364,-0.22722490923769698
가결,-0.013189365696137378,0.4130096815280011
가계,-0.11766158711447172,-0.19718579513495316
가공,-0.0401345383475713,0.08560184892177507
가공용,-0.017535822359407593,-0.0014290114416444233
가공품,-0.06813773161415554,0.04578327494447598
가관,0.05165806055696959,0.06330779449896362
가교,-0.07732794502075657,-0.03712870413280664
가구,0.009011823186132611,-0.0815398908330161
가구주,-0.03005228889056738,-0.04380931802014587
가금,0.0971932932960951,0.024033566710090604
가급,-0.032819501805850804,0.02063045318719014
가급적,0.018104606449844796,-0.07431556264429412
가기,-0.019982402328543758,-0.014673778252733027
가까이,0.007514320068855218,-0.04530924109143386
가깝,-0.03195007814671197,-0.09167050286189815
가꾸,-0.0014206652706355571,0.018015341539823426
가꾸기,0.06693437765940047,-0.003393764565286391
가나,0.008784237987445764,-0.0011747089984857073
가난,-0.021277701932780724,0.0578030164186881
가늘,0.01101314209533466,0.001997671656293054
가늠,0.04268995350905208,-0.04759000307609257
가능,0.10697672858422053,0.17347193264139724
가능성,-0.007628331085561935,0.21578272568852813
가다듬,0.016179650533767354,0.009718504493461809
가닥,-0.00536843562121242,-0.02618735346998008
가담,0.009462310905945848,-0.04606078034763905
가담자,0.00572722018423355,-0.07726700630305627
가덕,-0.06452425060607703,0.08944806401997132
가덕도,-0.2275368554651621,-0.27879958461340615
가도,0.019754376089830918,-0.041750578339302374
가동,0.22285877033728263,-0.008188951034178705
가동률,-0.052757914067253914,-0.016960515680465013
가두,0.05374703403912269,-0.01878887821888531
가두리,-0.03578501823403278,-0.0751277895152416
가드레일,-0.004976656950278074,0.04705350296191834
가든,-0.05467891658097845,0.03133578911148077
가라,-0.2512684145684387,-0.10657332248294742
가라앉,0.030362012043865287,-0.0421992370966671
가라앉히,-0.056842730289914156,-0.13355388841694996
가라테,0.05024897072346221,-0.23590164759026513
가락,-0.06423518686294478,0.05898837437075696
가래,-0.05450692508925897,0.012709076860028368
가량,0.021762260665042187,-0.16842701201222765
가려내,0.02181267208468448,-0.0098195898635721
가렴,0.06720982079939791,-0.06854960085057392
가렵,0.09547738085989414,-0.03332631107344902
가로,-0.01706898333324146,0.03287496458525837
가로등,-0.01423450594782158,-0.0009509559425023951
가로막,0.05851109631843603,0.06279834958316545
가로막히,0.07490747133933624,0.04688747076816591
가로수,-0.03223470660770959,0.02381057097886393
가로채,-0.01770709819298685,0.018863087188153143
가루,0.07265657543720669,-0.08149268013392306
가르,-0.02969172052714359,-0.09597515413004837
가르기,0.12000540163165814,-0.03273606800326764
가르마,0.042020929907751366,0.015225110369319728
가르치,0.06489254369365388,0.032957949654619935
가르침,0.004456175345386362,0.005078035333485876
가리,0.0297305699693796,0.053736778563961314
가리비,-0.0033794500291522665,-0.04944664440134267
가리키,-0.04553557384387889,-0.00717703981310055
가림,-0.038049829031543726,-0.003163104602074407
가만두,-0.025708604734482943,0.02506582935509634
가만있,0.013842274497895877,-0.09563202439064798
가맹,0.04163845117496151,-0.06633704515185286
가맹점,0.022059655987512392,0.08403569504485882
가면,-0.015804044716658482,0.01494922373532258
가명,-0.07370504515767573,0.029320783351144214
가목,-0.0030456715610363023,-0.03533458897588337
가문,-0.04211427061631182,0.005780286256044465
가뭄,-0.02808812134381594,0.030311089572762698
가미,-0.006209160523435209,0.007178582239777954
가방,0.15773004028844553,-0.06919776865335439
가벼운,-0.015320966049922675,0.016278480079773512
가볍,0.10287104614180534,-0.12754023943272683
가보,-0.0113260771282194,-0.04786127526076603
가부,-0.023496442048731588,-0.022627663961084996
가사,-0.05636424493168434,0.06785201592513629
가산,-0.12169490855859796,0.06423127754635787
가산금,0.08281110862666477,-0.04901769307198185
가산세,-0.0494370631649067,0.05275687551815192
가산점,-0.02210700197326941,-0.02921551243627568
가상,0.14774730959228194,-0.05916436755306543
가상현실,0.016581921567502256,0.014973405730709278
가석방,0.01962663342436556,-0.05431676133120822
가설,0.17723999091845735,0.029960562624311224
가세,0.013268785257989621,0.04666815320742221
가속,0.0006934405478413851,0.01786001450067615
가속기,0.06615593959847695,0.11079293771389952
가속화,0.012444430227769377,-0.041855210511788865
가수,0.09355908585143932,0.09107905301633339
가스,0.07439985679267792,0.11758927029749103
가스전,-0.019239997157081204,-0.014021810551961519
가슴,-0.010670627643882158,0.05340176677313505
가습기,-0.09202413252304695,0.11829396712788767
가시,0.06750001759654126,-0.006686764470536569
가시화,0.04191373594512291,0.016900933401986735
가시화되,-0.0023947725224395464,-0.009064224270582582
가신,0.00908508125875487,-0.04091051647738451
가실,0.005181018447389047,0.005849097387082795
가압,0.07544895760881141,-0.04463465657777787
가압류,0.018865190716991023,-0.02158920742626129
가액,0.05445822133427421,0.0527635642356831
가야,0.009621238148638401,-0.05690216186826037
가업,0.14549322263101996,-0.1737403919707203
가연성,-0.05891379498966708,0.009035859805962599
가열,-0.033686638600763666,-0.005150411181128268
가열차,-0.01917006940106076,-0.021648650282721824
가옥,0.008499332336601134,-0.03648414426676584
가요,-0.39873277570060783,0.12912652661430024
가용,0.07493242946203019,-0.047353863931300214
가운,0.13421889680448937,0.01211471707519461
가운데,0.10951826718677313,-0.023535554829100882
가율,-0.005480936485502403,0.10317438118060997
가을,-0.029122590519665807,0.0888971257131666
가의,-0.053144571041547364,0.0032461882123164757
가이,0.024750154165488664,-0.0060077451495129655
가이드,-0.05504498249859917,0.047142437992778355
