word,bias_score
재인,1.2125676144144577
선관위,1.1363188871856487
북한,1.0687482440946847
민주당,1.0519773914099864
안보,1.0477105660527775
수사,1.0183089594254802
청와대,0.9557000411308404
일본,-0.944088224849417
전교조,0.9348003924874946
성남,0.9298353740930625
지금,0.9271276665313625
감사,0.926613093195209
국민,0.9154304253988419
대통령,-0.9118815829803275
판단,-0.849747410872648
이형석,-0.8408009701466498
제가,0.8340849468803223
펀드,0.8248164242329726
이재명,0.8118002204792413
정도,-0.7961101925786946
기권,-0.7919327225785755
사람,0.7820431870473303
년도,0.764861849589625
노동자,-0.7600096129969376
대공,0.749483320316761
원님,-0.7480883202699798
검찰,-0.7465625980773933
미국,-0.7351255657538227
안전,-0.7290954200302491
적극적,-0.7226687441375617
금융,-0.7120491535577158
기관,0.7061185360937395
부총리,0.684222032970353
추미애,0.6832637407227282
전작,-0.680429305373714
법무부,-0.6649671731544641
조국,0.6631590873025702
감세,-0.6564185422136016
필요,-0.6529023000170018
말씀드리,-0.6470847360259893
백신,0.6416066308238385
후덕,0.634834721837043
대출,0.6277656609804154
다라,-0.6206895692627102
원영,-0.6206767418972006
성동,-0.6143983344236666
중국,0.6064005143682651
위기,-0.6025879544956895
고요,-0.6005297137649459
화천,0.5976888972584333
의혹,0.5945038001348143
선거,0.5900068994761231
이러,0.5884708133723403
문제,-0.5853016259274525
국감,-0.5792663481914802
마약,0.5782782811609976
사학,-0.5742950870972561
대기업,-0.5725357406047684
광주,-0.568318102112495
여쭈,0.5680847701409775
대학,-0.5636892193441185
질의,-0.5613827448382249
승희,0.5545673253644164
자료,0.5539210313671338
대유,0.5526380729868785
진천,-0.550173125259977
통일부,-0.5490430078656808
복지부,-0.5471639159786094
청장,0.5452633369918222
석탄,-0.542837690971553
검사,-0.5423754543007644
개호,0.5403397429651219
요청,-0.5395530166014225
박원,0.5361425444880231
말하,0.5358739989668406
실장,0.5344801356125216
에디슨,0.5334785819866953
이야기,0.5328657350710613
지방,-0.5303795714685289
중기,0.5250998264985858
갑석,0.5237552381411872
대답,0.5229309035345876
일보,-0.521832086428602
그러,-0.5212324224926383
공공,-0.5183118449250033
성과급,0.5179650423491329
번호판,0.517607851902388
경찰,0.5171416161089655
통계,0.5161088011931784
정규직,0.5156091921320823
수자원,0.514369834502365
점자,0.5143275982203134
관하,0.5127377494381595
중소,0.511201236488532
안산,-0.5109738121280709
오늘,-0.5107701084269731
과기,0.5062750174214469
분야,0.5057357196071399
따르,0.5030227988998063
세금,0.499006890620748
장관,0.49278977104786026
평가,0.48966567141131023
채용,0.4895856529918895
총장,-0.48846440113454814
제도,-0.48839056190561286
헬기,0.4850404345689684
법원,-0.48375025445984704
대본,-0.4831280506935134
여야,0.48255813985008433
이렇,-0.48054770186861717
배진,0.47891359424957514
삭감,-0.47763886109245085
총리,-0.4767294976624944
벤처,0.4752147526287527
제출,-0.47402169943830164
권한,-0.4703961906593103
국회,-0.4697879696726107
원전,0.46759715874881796
광고,-0.4644672223326429
태세,0.4637580687464238
네이버,0.46056943883683227
사령관,-0.4599662996933865
추가,0.45556615254028876
가격,0.45345544197029364
조민,0.45217025346012707
증권,0.45057014300848897
간호,0.4499409774904251
단속,-0.44941067571150384
역사,0.4487894312836474
일자리,0.4483915180472331
남인,-0.4478295205878805
옹벽,0.44779186332749127
취재원,0.44660206968805893
창작자,-0.4419230359425831
토론,-0.4402226812706399
사태,0.4398224728219499
주의,0.4396212294927267
행정,-0.4395217833467579
연숙,0.4382799560293054
교육청,0.43706771504546
시민,-0.4355314713715176
사회,0.4316300637808102
종성,-0.43027078073305747
이루어지,0.4288253904753265
남국,-0.42809065873466134
민주주의,0.4266589802295659
사과,-0.4234670936658314
정보,-0.4230248105913671
체육회,0.4226709939549353
독점,-0.42145718496473317
외교부,-0.42005501782121457
지나,0.4194664347857201
전단,-0.41932414672552826
사교육비,0.4184137515608864
농협,-0.41753589634294763
고생,-0.41739554594231404
서울시,-0.4167079566378027
기술인,-0.4160205200716638
기자,0.4158589104770499
회의,0.41384003006495873
오염,-0.4132800229376722
어떻,0.4129620592046153
부작용,0.4127504081167076
교육부,0.4125852352631221
결핵,0.41165135382777085
규문,0.41072711416216484
행정관,0.40792207504727535
상태,0.40732189613263026
상도,-0.40727014514267373
수익권,0.40584869457765976
협상,-0.4053423975745885
노회,0.4039428536518197
최승,0.4038392140327262
도발,0.4034617063460375
대사관,-0.40279285284500127
선우,-0.40249056424700047
교과서,0.40215745621217636
신문,-0.4004342604460577
거지,-0.4003929363603689
계신,-0.4000655254674752
가요,-0.39873277570060783
의석,0.39853898480928607
중구,0.39734225819459634
학대,-0.3958023201919175
위원장,0.3954477574266456
교육감,0.3948704258102196
학생,-0.3945633388988492
정치적,0.39454334074324565
진화,-0.3944284739004982
지난번,0.3929465074720369
논문,-0.3926983509886197
유가족,-0.39249747252960154
이해,0.39200095855648276
보훈처,0.3902108007232967
법제처,-0.3901637013401262
공모,0.38994871862091074
호선,-0.3893513114649103
차원,0.389146296908698
신고,-0.389106034281869
혁진,0.389009550676881
밀어붙이,0.3886917627886491
플랫폼,-0.3877729961035763
손실,0.38685811146582677
여사,-0.3864543180879182
수정안,0.3850573702355477
보완,0.3849217763101751
소방관,-0.38482129423869454
공항,-0.3847106653742385
종환,0.38320086804248316
철도,-0.38319226326314537
입학,0.3831072288569343
과학,-0.38288689749731875
부분,0.3825462024730268
영도구,0.3819962596408971
복합,-0.38172402765570757
권익,0.38122982887299306
음성,-0.3810279542874488
아이스,0.3804137385966762
출석,-0.3784664802974659
